kind,agency_slug,parent_slug,officeName,pageTitle,phone,hours,address_line1,address_line2,city,state,zip,singleLineAddress,mapSearchUrl,sourceUrl,cmsStatus,locationLabel,notes,liveFormId,headlessFormId,officeImageUrl,needsReview,agent_count
single,rockwall,,"AmeriLife of Rockwall Texas, LLC","AmeriLife of Rockwall Texas, LLC",(469) 902-9890,Monday-Friday 8am-5pm,"55 Noble Court, Suite 100",,Heath,TX,75032,"55 Noble Court, Suite 100, Heath, TX 75032",https://www.google.com/maps/search/?api=1&query=55%20Noble%20Court%2C%20Suite%20100%2C%20Heath%2C%20TX%2075032,https://amerilife.com/rockwall/,Active,Find an Agent – Rockwall TX,,31,31,https://headlessameril.wpenginepowered.com/wp-content/uploads/2023/04/AML-Wealth-II-Announcement-040532023-HERO-1024x358-1.png,,1
single,sarasota,,"AmeriLife of Sarasota County, LLC","AmeriLife of Sarasota County, LLC",(941) 484-4064,Monday-Friday 8am-5pm,"3479 Precision Dr., Suite 116",,North Venice,FL,34275,"3479 Precision Dr., Suite 116, North Venice, FL 34275",https://www.google.com/maps/search/?api=1&query=3479%20Precision%20Dr.%2C%20Suite%20116%2C%20North%20Venice%2C%20FL%2034275,https://amerilife.com/sarasota/,Active,Find an Agent – Sarasota County FL (North Venice),,31,31,https://headlessameril.wpenginepowered.com/wp-content/uploads/2023/04/AML-Wealth-II-Announcement-040532023-HERO-1024x358-1.png,,1
single,sebring,,"AmeriLife of Polk County, LLC – Sebring","AmeriLife of Polk County, LLC – Sebring",(863) 386-9191,Monday-Friday 8am-5pm,115 US Hwy 27 North,,Sebring,FL,33870,"115 US Hwy 27 North, Sebring, FL 33870",https://www.google.com/maps/search/?api=1&query=115%20US%20Hwy%2027%20North%2C%20Sebring%2C%20FL%2033870,https://amerilife.com/sebring/,Active,Find an Agent – Sebring FL,,31,31,https://headlessameril.wpenginepowered.com/wp-content/uploads/2023/04/AML-Wealth-II-Announcement-040532023-HERO-1024x358-1.png,,1
single,sebring-satellite,,"AmeriLife of Polk County, LLC – Sebring","AmeriLife of Polk County, LLC – Sebring",(863) 386-9191,Monday-Friday 8am-5pm,115 US Hwy 27 North,,Sebring,FL,33870,"115 US Hwy 27 North, Sebring, FL 33870",https://www.google.com/maps/search/?api=1&query=115%20US%20Hwy%2027%20North%2C%20Sebring%2C%20FL%2033870,https://amerilife.com/sebring-satellite/,Active,Find an Agent – Sebring Satellite (Polk County),New template,31,31,https://headlessameril.wpenginepowered.com/wp-content/uploads/2023/04/AML-Wealth-II-Announcement-040532023-HERO-1024x358-1.png,,1
single,suncoast,,"AmeriLife of Suncoast, LLC","AmeriLife of Suncoast, LLC",(727) 378-4770,Monday-Friday 8am-5pm,5155 Deer Park Drive Unit A2,,New Port Richey,FL,34653,"5155 Deer Park Drive Unit A2, New Port Richey, FL 34653",https://www.google.com/maps/search/?api=1&query=5155%20Deer%20Park%20Drive%20Unit%20A2%2C%20New%20Port%20Richey%2C%20FL%2034653,https://amerilife.com/suncoast/,Active,Find an Agent – Suncoast FL (New Port Richey),,31,31,https://headlessameril.wpenginepowered.com/wp-content/uploads/2023/04/AML-Wealth-II-Announcement-040532023-HERO-1024x358-1.png,,2
single,tennessee,,"AmeriLife of Tennessee, LLC","AmeriLife of Tennessee, LLC",,Monday-Friday 8am-5pm,"1210 Premier Drive, Suite 140",,Chattanooga,TN,37421,"1210 Premier Drive, Suite 140, Chattanooga, TN 37421",https://www.google.com/maps/search/?api=1&query=1210%20Premier%20Drive%2C%20Suite%20140%2C%20Chattanooga%2C%20TN%2037421,https://amerilife.com/tennessee/,Active,Find an Agent – Tennessee (Chattanooga),,31,31,https://headlessameril.wpenginepowered.com/wp-content/uploads/2023/04/AML-Wealth-II-Announcement-040532023-HERO-1024x358-1.png,missing_phone,1
sub,texas-irving,texas,AmeriLife of Texas Market — Irving,AmeriLife of Texas Market — Irving,(972) 550-7259,Monday-Friday 8am-5pm,"1333 Corporate Dr, Suite 310",,Irving,TX,75038,"1333 Corporate Dr, Suite 310, Irving, TX 75038",https://www.google.com/maps/search/?api=1&query=1333%20Corporate%20Dr%2C%20Suite%20310%2C%20Irving%2C%20TX%2075038,https://amerilife.com/texas/,Active,Find an Agent – Texas Market (Dallas / Ft Worth / McKinney / Mansfield / Highland Village / Rockwall),,31,31,https://headlessameril.wpenginepowered.com/wp-content/uploads/2023/04/AML-Wealth-II-Announcement-040532023-HERO-1024x358-1.png,,1
sub,texas-hurst,texas,AmeriLife of Texas Market — Hurst,AmeriLife of Texas Market — Hurst,(682) 626-5307,Monday-Friday 8am-5pm,"235 NE Loop 820, Suite 100",,Hurst,TX,76053,"235 NE Loop 820, Suite 100, Hurst, TX 76053",https://www.google.com/maps/search/?api=1&query=235%20NE%20Loop%20820%2C%20Suite%20100%2C%20Hurst%2C%20TX%2076053,https://amerilife.com/texas/,Active,Find an Agent – Texas Market (Dallas / Ft Worth / McKinney / Mansfield / Highland Village / Rockwall),,31,31,https://headlessameril.wpenginepowered.com/wp-content/uploads/2023/04/AML-Wealth-II-Announcement-040532023-HERO-1024x358-1.png,,1
sub,texas-mckinney,texas,AmeriLife of Texas Market — McKinney,AmeriLife of Texas Market — McKinney,(469) 640-1028,Monday-Friday 8am-5pm,5900 South Lake Forest #260,,McKinney,TX,75070,"5900 South Lake Forest #260, McKinney, TX 75070",https://www.google.com/maps/search/?api=1&query=5900%20South%20Lake%20Forest%20%23260%2C%20McKinney%2C%20TX%2075070,https://amerilife.com/texas/,Active,Find an Agent – Texas Market (Dallas / Ft Worth / McKinney / Mansfield / Highland Village / Rockwall),,31,31,https://headlessameril.wpenginepowered.com/wp-content/uploads/2023/04/AML-Wealth-II-Announcement-040532023-HERO-1024x358-1.png,,1
sub,texas-mansfield,texas,AmeriLife of Texas Market — Mansfield,AmeriLife of Texas Market — Mansfield,(817) 225-2994,Monday-Friday 8am-5pm,"1900 Matlock Road, Suite 800A",,Mansfield,TX,76063,"1900 Matlock Road, Suite 800A, Mansfield, TX 76063",https://www.google.com/maps/search/?api=1&query=1900%20Matlock%20Road%2C%20Suite%20800A%2C%20Mansfield%2C%20TX%2076063,https://amerilife.com/texas/,Active,Find an Agent – Texas Market (Dallas / Ft Worth / McKinney / Mansfield / Highland Village / Rockwall),,31,31,https://headlessameril.wpenginepowered.com/wp-content/uploads/2023/04/AML-Wealth-II-Announcement-040532023-HERO-1024x358-1.png,,1
sub,texas-highland-village,texas,AmeriLife of Texas Market — Highland Village,AmeriLife of Texas Market — Highland Village,(469) 405-8880,Monday-Friday 8am-5pm,"2840 Village Parkway, Suite 120",,Highland Village,TX,75077,"2840 Village Parkway, Suite 120, Highland Village, TX 75077",https://www.google.com/maps/search/?api=1&query=2840%20Village%20Parkway%2C%20Suite%20120%2C%20Highland%20Village%2C%20TX%2075077,https://amerilife.com/texas/,Active,Find an Agent – Texas Market (Dallas / Ft Worth / McKinney / Mansfield / Highland Village / Rockwall),,31,31,https://headlessameril.wpenginepowered.com/wp-content/uploads/2023/04/AML-Wealth-II-Announcement-040532023-HERO-1024x358-1.png,,1
sub,texas-heath,texas,AmeriLife of Texas Market — Heath,AmeriLife of Texas Market — Heath,(469) 902-9890,Monday-Friday 8am-5pm,"55 Noble Court, Suite 100",,Heath,TX,75032,"55 Noble Court, Suite 100, Heath, TX 75032",https://www.google.com/maps/search/?api=1&query=55%20Noble%20Court%2C%20Suite%20100%2C%20Heath%2C%20TX%2075032,https://amerilife.com/texas/,Active,Find an Agent – Texas Market (Dallas / Ft Worth / McKinney / Mansfield / Highland Village / Rockwall),,31,31,https://headlessameril.wpenginepowered.com/wp-content/uploads/2023/04/AML-Wealth-II-Announcement-040532023-HERO-1024x358-1.png,,1
single,virginia,,"AmeriLife of Virginia, LLC","AmeriLife of Virginia, LLC",,Monday-Friday 8 am-5 pm,3090 Electric Rd.,,Roanoke,VA,24018,"3090 Electric Rd., Roanoke, VA 24018",https://www.google.com/maps/search/?api=1&query=3090%20Electric%20Rd.%2C%20Roanoke%2C%20VA%2024018,https://amerilife.com/virginia/,Active,Find an Agent – Virginia (Roanoke),,31,31,https://headlessameril.wpenginepowered.com/wp-content/uploads/2023/04/AML-Wealth-II-Announcement-040532023-HERO-1024x358-1.png,missing_phone,1
