Location,Link,CMS Status,In Sitemap,Notes
Find an Agent – Mansfield TX,https://amerilife.com/mansfield/,Active,Yes,
Find an Agent – Marion County FL (Ocala),https://amerilife.com/marion/,Active,No,
Find an Agent – McKinney TX [INACTIVE],https://amerilife.com/mckinney/,Inactive,Yes,Marked inactive in CMS
Find an Agent – Northeast (Marlborough MA),https://amerilife.com/the-northeast/,Active,Yes,
Find an Agent – Ormond Beach FL,https://amerilife.com/ormond-beach/,Active,Yes,
Find an Agent – Pensacola FL,https://amerilife.com/pensacola/,Active,Yes,
Find an Agent – Polk County FL (Winter Haven) – Main,https://amerilife.com/polk-county/,Active,Yes,New template
Find an Agent – Rhode Island (Cranston),https://amerilife.com/rhode-island/,Active,Yes,Not in CMS list
Find an Agent – Rockwall TX,https://amerilife.com/rockwall/,Active,Yes,
Find an Agent – Sarasota County FL (North Venice),https://amerilife.com/sarasota/,Active,No,
Find an Agent – Sebring FL,https://amerilife.com/sebring/,Active,Yes,
Find an Agent – Sebring Satellite (Polk County),https://amerilife.com/sebring-satellite/,Active,Yes,New template
Find an Agent – Suncoast FL (New Port Richey),https://amerilife.com/suncoast/,Active,No,
Find an Agent – Tennessee (Chattanooga),https://amerilife.com/tennessee/,Active,No,
Find an Agent – Texas Market (Dallas / Ft Worth / McKinney / Mansfield / Highland Village / Rockwall),https://amerilife.com/texas/,Active,Yes,
Find an Agent – Virginia (Roanoke),https://amerilife.com/virginia/,Active,No,
Find an Agent – Wilmington NC,https://amerilife.com/wilmington/,Active,No,
Central Florida TV – Retirement Your Way,https://amerilife.com/centralfloridatv/,Active,Yes,Local agent TV show landing
AmeriLife of Polk County – Paid Ads 1 (Annuities),https://amerilife.com/ads-amerilife-of-polk-county/,Active,Yes,
AmeriLife of Polk County – Paid Ads 2 (Annuities),https://amerilife.com/amerilife-of-polk-county-paid-ads-2/,Active,Yes,
AmeriLife of Polk County – Paid Ads 3 (Annuities),https://amerilife.com/amerilife-of-polk-county-paid-ads-3/,Active,Yes,
Find an Agent – Tampa Bay FL (Brandon),https://amerilife.com/tampabay/,Active,No,
Find an Agent – East Pasco FL (Zephyrhills),https://amerilife.com/eastpasco/,Active,No,
Find an Agent – Lake County FL (Leesburg),https://amerilife.com/lakecounty/,Active,No,Separate from /debary/ (DeBary satellite)
Find an Agent – South Carolina (Greer / Upstate),https://amerilife.com/southcarolina/,Active,No,
Find an Agent – North Carolina (Charlotte),https://amerilife.com/northcarolina/,Active,No,
Find an Agent – Sara-Bay FL (Bradenton),https://amerilife.com/sarabay/,Active,No,
Find an Agent – Lee County FL (Fort Myers),https://amerilife.com/leecounty/,Active,No,
Find an Agent – Central Florida (Winter Park),https://amerilife.com/centralflorida/,Active,No,
Find an Agent – Indian River County FL (Port St Lucie / Vero Beach),https://amerilife.com/indianriver/,Active,No,
Find an Agent – St Petersburg FL,https://amerilife.com/stpetersburg/,Active,No,
Find an Agent – North Florida (Jacksonville),https://amerilife.com/northflorida/,Active,No,
Find an Agent – South Florida (Doral),https://amerilife.com/southflorida/,Active,No,
Find an Agent – Winston-Salem NC,https://amerilife.com/winstonsalem/,Active,No,
Find an Agent – Durham NC (Satellite),URL NOT FOUND,Active,No,Página no publicada – 404 en /durham/ y /Durham/ confirmados
Find an Agent – Polk County FL (Winter Haven) – Old template,https://amerilife.com/polk/,Active,No,Versión anterior a /polk-county/ (mismo agente Ryan Atkins)
Find an Agent – DeBary FL (Lake County satellite),https://amerilife.com/debary/,Active,Yes,Satélite de /lakecounty/ – en sitemap
Find an Agent Near You – Results,https://amerilife.com/find-an-agent-results/,Active,No,Página de resultados del zip-code finder
